1000	60441	109	17265	63	58832	109	0.999724
2000	60441	116	24720	78	60025	125	0.9997
3000	60441	109	34861	78	53649	109	0.999545
4000	60441	125	37983	94	58595	109	0.999621
5000	60441	124	41881	93	58185	109	0.999607
6000	60441	109	46857	93	60191	125	0.99966
7000	60441	106	46384	94	54420	110	0.999577
8000	60441	109	51865	110	47753	109	0.999562
9000	60441	109	53048	110	53564	94	0.999564
10000	60441	109	51910	110	44475	93	0.999497
11000	60441	125	53860	109	41641	94	0.999589
12000	60441	125	56845	110	38935	78	0.999547
13000	60441	116	60040	109	46774	93	0.999568
14000	60441	111	57638	109	44223	93	0.999544
15000	60441	109	58083	110	31208	94	0.999602
16000	60441	124	59481	109	39467	94	0.999651
17000	60441	110	60900	110	41146	94	0.999633
18000	60441	110	61888	106	39063	93	0.999663
19000	60441	109	58854	115	28910	79	0.999744
20000	60441	109	62037	109	26076	76	0.999638
