1000	300177	1747	1156	765	301067	1747	0.999974
2000	300177	1700	938	687	300500	1654	0.999949
3000	300177	1809	3001	748	302001	1653	0.999888
4000	300177	1732	5538	702	302746	1935	0.999776
5000	300177	1781	31520	845	313202	2062	0.997731
6000	300177	1841	53306	1201	324798	2138	0.999642
7000	300177	1819	3368	849	301339	1903	0.999813
8000	300177	1872	63484	1035	355149	1857	0.999436
9000	300177	1825	9736	920	304194	1747	0.999659
10000	300177	1731	58861	1451	351300	2169	0.999656
11000	300177	1731	74131	1529	356542	2121	0.999444
12000	300177	1779	99435	1436	355799	1934	0.997669
13000	300177	1826	134405	1341	330831	2215	0.997564
14000	300177	1716	109474	1497	362878	2029	0.999286
15000	300177	1819	133763	1747	385159	2278	0.999362
16000	300177	1826	91662	1588	385049	2034	0.995992
17000	300177	1778	92121	1342	357430	1919	0.999228
18000	300177	1716	116943	1330	394564	1848	0.999163
19000	300177	1872	193126	1435	426854	2230	0.997342
20000	300177	1748	219737	1685	448584	2418	0.996643
